model,task,condition,phase,trajectory_path,exists,last_action,done,step_count,failure_type,score,tracking,tracking_items,guest_path,notes
openai,aggregation-f018,cf,phase_b,results/phaseb-openai-aggregation-f018/cf/aggregation-f018/traj.jsonl,true,EMPTY_XML,false,71,OTHER_EXECUTION_FAILURE,0,,{},results/phaseb-openai-aggregation-f018/cf/aggregation-f018.guest.json,source=phaseb
openai,preference_inference-f004,base,phase_b,results/phaseb-openai-preference_inference-f004/base/preference_inference-f004/traj.jsonl,true,DONE,true,32,,100,true,"{""tf_top"": true, ""hd_top"": true}",results/phaseb-openai-preference_inference-f004/base/preference_inference-f004.guest.json,source=phaseb
openai,preference_inference-f004,cf,phase_b,results/phaseb-openai-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,true,DONE,true,37,,58,true,"{""tf_top"": true, ""hd_top"": true}",results/phaseb-openai-preference_inference-f004/cf/preference_inference-f004.guest.json,source=phaseb
openai,preference_inference-f018,base,phase_a_locked,results/stage4-openai-preference_inference-f018/base/preference_inference-f018/traj.jsonl,true,TOOL_CALL,false,19,TOOL_CALL_FAILURE,0,,{},results/stage4-openai-preference_inference-f018/base/preference_inference-f018.guest.json,source=stage4_reuse
openai,preference_inference-f018,cf,phase_a_locked,results/stage4-openai-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,true,TOOL_CALL,false,16,TOOL_CALL_FAILURE,0,,{},results/stage4-openai-preference_inference-f018/cf/preference_inference-f018.guest.json,source=stage4_reuse
openai,counterfactual-f004,base,phase_a_locked,results/stage4-openai-counterfactual-f004/base/counterfactual-f004/traj.jsonl,true,DONE,true,65,,87,true,"{""1099_or_improv_income"": true}",results/stage4-openai-counterfactual-f004/base/counterfactual-f004.guest.json,source=stage4_reuse
openai,counterfactual-f004,cf,phase_a_locked,results/stage4-openai-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,true,DONE,true,40,,87,false,"{""1099_or_improv_income"": false}",results/stage4-openai-counterfactual-f004/cf/counterfactual-f004.guest.json,source=stage4_reuse
qwen35a3b,retrieval-f001,base,phase_a_locked,results/stage4-qwen35a3b-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,7,,100,true,"{""tier"": true, ""miles"": true}",results/stage4-qwen35a3b-retrieval-f001/base/retrieval-f001.guest.json,source=stage4_reuse
qwen35a3b,retrieval-f001,cf,phase_a_locked,results/stage4-qwen35a3b-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,7,,100,true,"{""tier"": true, ""miles"": true}",results/stage4-qwen35a3b-retrieval-f001/cf/retrieval-f001.guest.json,source=stage4_reuse
qwen35a3b,retrieval-f003,base,phase_b,results/phaseb-qwen35a3b-retrieval-f003/base/retrieval-f003/traj.jsonl,true,"pyautogui.click(88, 93)",false,80,NOT_DONE,65,,{},results/phaseb-qwen35a3b-retrieval-f003/base/retrieval-f003.guest.json,source=phaseb
qwen35a3b,retrieval-f003,cf,phase_b,results/phaseb-qwen35a3b-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f003/cf/retrieval-f003.guest.json,source=phaseb
qwen35a3b,retrieval-f016,base,phase_b,results/phaseb-qwen35a3b-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,10,,100,false,"{""cost_basis"": false, ""cash"": true}",results/phaseb-qwen35a3b-retrieval-f016/base/retrieval-f016.guest.json,source=phaseb
qwen35a3b,retrieval-f016,cf,phase_b,results/phaseb-qwen35a3b-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f016/cf/retrieval-f016.guest.json,source=phaseb
qwen35a3b,retrieval-f029,base,phase_b,results/phaseb-qwen35a3b-retrieval-f029/base/retrieval-f029/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f029/base/retrieval-f029.guest.json,source=phaseb
qwen35a3b,retrieval-f029,cf,phase_b,results/phaseb-qwen35a3b-retrieval-f029/cf/retrieval-f029/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f029/cf/retrieval-f029.guest.json,source=phaseb
qwen35a3b,retrieval-f030,base,phase_b,results/phaseb-qwen35a3b-retrieval-f030/base/retrieval-f030/traj.jsonl,true,EMPTY_XML,false,59,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f030/base/retrieval-f030.guest.json,source=phaseb
qwen35a3b,retrieval-f030,cf,phase_b,results/phaseb-qwen35a3b-retrieval-f030/cf/retrieval-f030/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-retrieval-f030/cf/retrieval-f030.guest.json,source=phaseb
qwen35a3b,aggregation-f003,base,phase_a_locked,results/stage4-qwen35a3b-aggregation-f003/base/aggregation-f003/traj.jsonl,true,DONE,true,14,,75,true,"{""combined_refund"": true}",results/stage4-qwen35a3b-aggregation-f003/base/aggregation-f003.guest.json,source=stage4_reuse
qwen35a3b,aggregation-f003,cf,phase_a_locked,results/stage4-qwen35a3b-aggregation-f003/cf/aggregation-f003/traj.jsonl,true,FAIL,false,26,OTHER_EXECUTION_FAILURE,0,,{},results/stage4-qwen35a3b-aggregation-f003/cf/aggregation-f003.guest.json,source=stage4_reuse
qwen35a3b,aggregation-f018,base,phase_b,results/phaseb-qwen35a3b-aggregation-f018/base/aggregation-f018/traj.jsonl,true,EMPTY_XML,false,80,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-aggregation-f018/base/aggregation-f018.guest.json,source=phaseb
qwen35a3b,aggregation-f018,cf,phase_b,results/phaseb-qwen35a3b-aggregation-f018/cf/aggregation-f018/traj.jsonl,true,FAIL,false,22,OTHER_EXECUTION_FAILURE,0,,{},results/phaseb-qwen35a3b-aggregation-f018/cf/aggregation-f018.guest.json,source=phaseb
qwen35a3b,preference_inference-f004,base,phase_b,results/phaseb-qwen35a3b-preference_inference-f004/base/preference_inference-f004/traj.jsonl,true,EMPTY_XML,false,14,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-preference_inference-f004/base/preference_inference-f004.guest.json,source=phaseb
qwen35a3b,preference_inference-f004,cf,phase_b,results/phaseb-qwen35a3b-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,true,EMPTY_XML,false,93,PARSER_FAILURE,0,,{},results/phaseb-qwen35a3b-preference_inference-f004/cf/preference_inference-f004.guest.json,source=phaseb
qwen35a3b,preference_inference-f018,base,phase_a_locked,results/stage4-qwen35a3b-preference_inference-f018/base/preference_inference-f018/traj.jsonl,true,DONE,true,14,,100,true,"{""gme_shares"": true, ""om_yes_active"": true}",results/stage4-qwen35a3b-preference_inference-f018/base/preference_inference-f018.guest.json,source=stage4_reuse
qwen35a3b,preference_inference-f018,cf,phase_a_locked,results/stage4-qwen35a3b-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,true,PREDICT_CRASH,false,29,OTHER_EXECUTION_FAILURE,21,,{},results/stage4-qwen35a3b-preference_inference-f018/cf/preference_inference-f018.guest.json,source=stage4_reuse
qwen35a3b,counterfactual-f004,base,phase_a_locked,results/stage4-qwen35a3b-counterfactual-f004/base/counterfactual-f004/traj.jsonl,true,WAIT,false,85,NOT_DONE,0,,{},results/stage4-qwen35a3b-counterfactual-f004/base/counterfactual-f004.guest.json,source=stage4_reuse
qwen35a3b,counterfactual-f004,cf,phase_a_locked,results/stage4-qwen35a3b-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,true,TOOL_CALL,false,91,TOOL_CALL_FAILURE,0,,{},results/stage4-qwen35a3b-counterfactual-f004/cf/counterfactual-f004.guest.json,source=stage4_reuse
qwen359b,retrieval-f001,base,ablation,results/stage4-qwen359b-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,4,,80,true,"{""tier"": true, ""miles"": true}",results/stage4-qwen359b-retrieval-f001/base/retrieval-f001.guest.json,source=stage4_reuse; not_primary_ablation
qwen359b,retrieval-f001,cf,ablation,results/stage4-qwen359b-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,4,,80,true,"{""tier"": true, ""miles"": true}",results/stage4-qwen359b-retrieval-f001/cf/retrieval-f001.guest.json,source=stage4_reuse; not_primary_ablation
qwen359b,retrieval-f003,base,ablation,results/phaseb-qwen359b-retrieval-f003/base/retrieval-f003/traj.jsonl,true,"pyautogui.scroll(-3, x=984, y=636)",false,151,NOT_DONE,65,,{},results/phaseb-qwen359b-retrieval-f003/base/retrieval-f003.guest.json,source=phaseb; not_primary_ablation
qwen359b,retrieval-f003,cf,ablation,results/phaseb-qwen359b-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,DONE,true,58,,65,false,"{""w2_wages_2024"": false}",results/phaseb-qwen359b-retrieval-f003/cf/retrieval-f003.guest.json,source=phaseb; not_primary_ablation
qwen359b,retrieval-f016,base,ablation,results/phaseb-qwen359b-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,14,,100,false,"{""cost_basis"": false, ""cash"": true}",results/phaseb-qwen359b-retrieval-f016/base/retrieval-f016.guest.json,source=phaseb; not_primary_ablation
qwen359b,retrieval-f016,cf,ablation,results/phaseb-qwen359b-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,DONE,true,9,,100,true,"{""cost_basis"": true, ""cash"": true}",results/phaseb-qwen359b-retrieval-f016/cf/retrieval-f016.guest.json,source=phaseb; not_primary_ablation
